,@id,highway,name,highway,FID
0,way/4040302,motorway,Kungälvsleden,motorway,way/4040302
1,way/4040303,motorway,,motorway,way/4040303
2,way/4040436,motorway_link,,motorway_link,way/4040436
3,way/4040439,motorway,,motorway,way/4040439
4,way/4040441,motorway,,motorway,way/4040441
5,way/4040443,motorway,,motorway,way/4040443
6,way/4040446,motorway,,motorway,way/4040446
7,way/4040452,motorway_link,,motorway_link,way/4040452
8,way/4040453,motorway_link,,motorway_link,way/4040453
9,way/4040484,motorway,,motorway,way/4040484
10,way/4040493,service,,service,way/4040493
11,way/4040627,motorway,Boråsleden,motorway,way/4040627
12,way/4040628,motorway,,motorway,way/4040628
13,way/4040629,motorway,,motorway,way/4040629
14,way/4040633,motorway_link,,motorway_link,way/4040633
15,way/4040634,motorway_link,,motorway_link,way/4040634
16,way/4040638,motorway_link,,motorway_link,way/4040638
17,way/4077192,secondary,,secondary,way/4077192
18,way/4077193,secondary,Gråbovägen,secondary,way/4077193
19,way/4077194,secondary,Hjällbovägen,secondary,way/4077194
20,way/4077195,secondary,Gråbovägen,secondary,way/4077195
21,way/4077750,motorway,,motorway,way/4077750
22,way/4077768,motorway,Alingsåsleden,motorway,way/4077768
23,way/4077779,motorway,Kungsbackaleden,motorway,way/4077779
24,way/4077825,tertiary,Hjällbovägen,tertiary,way/4077825
25,way/4263151,residential,Stora Nygatan,residential,way/4263151
26,way/4263152,service,Östra Larmgatan,service,way/4263152
27,way/4263153,service,Östra Hamngatan,service,way/4263153
28,way/4263156,unclassified,Lilla Nygatan,unclassified,way/4263156
29,way/4264300,residential,Slussgatan,residential,way/4264300
30,way/4264301,secondary,Nya Allén,secondary,way/4264301
31,way/4264302,secondary,Norra Allégatan,secondary,way/4264302
32,way/4264304,secondary,Parkgatan,secondary,way/4264304
33,way/4265182,living_street,Trädgårdsgatan,living_street,way/4265182
34,way/4265183,living_street,Bastionsplatsen,living_street,way/4265183
35,way/4265184,unclassified,Lilla Kungsgatan,unclassified,way/4265184
36,way/4265185,unclassified,Grönsakstorget,unclassified,way/4265185
37,way/4265186,living_street,Södra Larmgatan,living_street,way/4265186
38,way/4265188,residential,Kungstorget,residential,way/4265188
39,way/4265190,living_street,Lilla Kyrkogatan,living_street,way/4265190
40,way/4265191,pedestrian,Korsgatan,pedestrian,way/4265191
41,way/4265193,unclassified,Drottninggatan,unclassified,way/4265193
42,way/4265195,living_street,Vallgatan,living_street,way/4265195
43,way/4270569,trunk_link,,trunk_link,way/4270569
44,way/4270574,primary,Järnbrottsmotet,primary,way/4270574
45,way/4270575,tertiary,Marconimotet,tertiary,way/4270575
46,way/4270839,trunk_link,Järnbrottsmotet,trunk_link,way/4270839
47,way/4270951,trunk,Söderleden,trunk,way/4270951
48,way/4270952,trunk_link,,trunk_link,way/4270952
49,way/4270953,trunk_link,,trunk_link,way/4270953
50,way/4272114,trunk,Västerleden,trunk,way/4272114
51,way/4272115,trunk,Västerleden,trunk,way/4272115
52,way/4272141,tertiary,Skattegårdsvägen,tertiary,way/4272141
53,way/4272143,tertiary,Skattegårdsvägen,tertiary,way/4272143
54,way/4272144,residential,Briljantgatan,residential,way/4272144
55,way/4272145,residential,Turkosgatan,residential,way/4272145
56,way/4272146,residential,Diamantgatan,residential,way/4272146
57,way/4272147,trunk_link,,trunk_link,way/4272147
58,way/4272163,tertiary,,tertiary,way/4272163
59,way/4272164,tertiary,Näsetvägen,tertiary,way/4272164
60,way/4272187,primary_link,Dag Hammarskjöldsleden,primary_link,way/4272187
61,way/4272188,primary_link,Dag Hammarskjöldsleden,primary_link,way/4272188
62,way/4272190,primary_link,Dag Hammarskjöldsleden,primary_link,way/4272190
63,way/4272195,unclassified,Fältspatsgatan,unclassified,way/4272195
64,way/4272200,tertiary,Tunnlandsgatan,tertiary,way/4272200
65,way/4272203,primary_link,Dag Hammarskjöldsleden,primary_link,way/4272203
66,way/4272205,secondary,Högsboleden,secondary,way/4272205
67,way/4272214,trunk,Västerleden,trunk,way/4272214
68,way/4272215,trunk,Gnistängstunneln,trunk,way/4272215
69,way/4272216,trunk,Gnistängstunneln,trunk,way/4272216
70,way/4272296,secondary,,secondary,way/4272296
71,way/4272297,trunk_link,Högsboleden,trunk_link,way/4272297
72,way/4273081,unclassified,Kaserntorget,unclassified,way/4273081
73,way/4273082,unclassified,Rosenlundsplatsen,unclassified,way/4273082
74,way/4273083,service,Rosenlundsplatsen,service,way/4273083
75,way/4273084,unclassified,Rosenlundsgatan,unclassified,way/4273084
76,way/4273086,unclassified,Sahlgrensgatan,unclassified,way/4273086
77,way/4273088,unclassified,Ekelundsgatan,unclassified,way/4273088
78,way/4273194,living_street,Magasinsgatan,living_street,way/4273194
79,way/4273195,steps,Kyrkogatan,steps,way/4273195
80,way/4273197,path,,path,way/4273197
81,way/4273198,path,,path,way/4273198
82,way/4273199,path,,path,way/4273199
83,way/4273200,path,,path,way/4273200
84,way/4273241,unclassified,Västra Hamngatan,unclassified,way/4273241
85,way/4273242,unclassified,Packhusplatsen,unclassified,way/4273242
86,way/4273243,residential,Smedjegatan,residential,way/4273243
87,way/4273244,residential,Kronhusgatan,residential,way/4273244
88,way/4273245,residential,Postgatan,residential,way/4273245
89,way/4273540,residential,Sten Sturegatan,residential,way/4273540
90,way/4273609,tertiary,Engelbrektsgatan,tertiary,way/4273609
91,way/4273611,secondary,Skånegatan,secondary,way/4273611
92,way/4273693,secondary,Artillerigatan,secondary,way/4273693
93,way/4273694,secondary,Artillerigatan,secondary,way/4273694
94,way/4273697,secondary,Artillerigatan,secondary,way/4273697
95,way/4273700,secondary,Gamlestadsvägen,secondary,way/4273700
96,way/4273701,tertiary,Gamlestadsvägen,tertiary,way/4273701
97,way/4273719,secondary,Mölndalsvägen,secondary,way/4273719
98,way/4275616,secondary,Kortedalavägen,secondary,way/4275616
99,way/4275617,secondary,Kortedalavägen,secondary,way/4275617
100,way/4275618,secondary,Kortedalavägen,secondary,way/4275618
101,way/4275619,secondary,Kortedalavägen,secondary,way/4275619
102,way/4275620,secondary,Kortedalavägen,secondary,way/4275620
103,way/4275621,secondary,Almanacksvägen,secondary,way/4275621
104,way/4275622,secondary,Almanacksvägen,secondary,way/4275622
105,way/4275623,secondary,Almanacksvägen,secondary,way/4275623
106,way/4275624,secondary,Gärdsåsmotet,secondary,way/4275624
107,way/4275627,unclassified,Stora Björn,unclassified,way/4275627
108,way/4275629,secondary,Bergsjövägen,secondary,way/4275629
109,way/4275630,secondary,,secondary,way/4275630
110,way/4275940,residential,Kungshöjdsgatan,residential,way/4275940
111,way/4275941,residential,Arsenalsgatan,residential,way/4275941
112,way/4275942,residential,Hvitfeldtsgatan,residential,way/4275942
113,way/4275965,residential,Luntantugatan,residential,way/4275965
114,way/4275966,steps,Luntantugatan,steps,way/4275966
115,way/4275967,footway,,footway,way/4275967
116,way/4275968,steps,Artilleristen Gladers Trappor,steps,way/4275968
117,way/4275969,living_street,Läroverksgatan,living_street,way/4275969
118,way/4275970,living_street,Södra Larmgatan,living_street,way/4275970
119,way/4275971,living_street,Södra Larmgatan,living_street,way/4275971
120,way/4275972,pedestrian,Arkitektgatan,pedestrian,way/4275972
121,way/4275973,unclassified,Lilla Korsgatan,unclassified,way/4275973
122,way/4276057,unclassified,Otterhällegatan,unclassified,way/4276057
123,way/4276120,unclassified,Skräddaregatan,unclassified,way/4276120
124,way/4276121,steps,Skräddaregatan,steps,way/4276121
125,way/4276122,steps,Per Nyströms Trappa,steps,way/4276122
126,way/4276124,residential,Norra Liden,residential,way/4276124
127,way/4276125,steps,,steps,way/4276125
128,way/4276187,footway,,footway,way/4276187
129,way/4276189,residential,Teatergatan,residential,way/4276189
130,way/4276190,residential,Chalmersgatan,residential,way/4276190
131,way/4276191,tertiary,Viktor Rydbergsgatan,tertiary,way/4276191
132,way/4276192,residential,Geijersgatan,residential,way/4276192
133,way/4276193,residential,Arkivgatan,residential,way/4276193
134,way/4276247,residential,Kristinelundsgatan,residential,way/4276247
135,way/4276248,residential,Kristinelundsgatan,residential,way/4276248
136,way/4276249,unclassified,Vasagatan,unclassified,way/4276249
137,way/4290479,tertiary,Skattegårdsvägen,tertiary,way/4290479
138,way/4290480,residential,Lilla Grevegårdsvägen,residential,way/4290480
139,way/4290488,trunk_link,,trunk_link,way/4290488
140,way/4290489,tertiary,Näsetvägen,tertiary,way/4290489
141,way/4290496,tertiary,Olof Asklunds Gata,tertiary,way/4290496
142,way/4290497,unclassified,Gruvgatan,unclassified,way/4290497
143,way/4290498,tertiary,J A Wettergrens gata,tertiary,way/4290498
144,way/4290540,tertiary,Marconigatan,tertiary,way/4290540
145,way/4290541,tertiary,Marconigatan,tertiary,way/4290541
146,way/4303174,tertiary,Slottsskogsgatan,tertiary,way/4303174
147,way/4303178,secondary,,secondary,way/4303178
148,way/4303180,secondary,Slottsskogsgatan,secondary,way/4303180
149,way/4303181,secondary,Margretebergsgatan,secondary,way/4303181
150,way/4303182,primary_link,Dag Hammarskjöldsleden,primary_link,way/4303182
151,way/4303184,secondary,Margretebergsgatan,secondary,way/4303184
152,way/4303185,residential,Carl Skottsbergs gata,residential,way/4303185
153,way/4303190,secondary,Högsboleden,secondary,way/4303190
154,way/4303191,secondary,Högsboleden,secondary,way/4303191
155,way/4303192,residential,Prickskyttestigen,residential,way/4303192
156,way/4303214,residential,Radiovägen,residential,way/4303214
157,way/4303215,tertiary,,tertiary,way/4303215
158,way/4303216,tertiary,Näsetvägen,tertiary,way/4303216
